scenario_week,weekday,meal,meal_time,menu,students_eligible,attendance_rate_simulated,meals_served_simulated,portions_prepared_simulated,food_waste_kg_simulated
6,Wednesday,Dinner,7:30–8:50 PM,Dal Makhani + Shahi Paneer + Roti + Rice + Rasgulla,1000,0.7687,769,824,66.79
6,Thursday,Breakfast,7:30–8:50 AM,Idli + SAmber + Chutney + Vegetable Daliya + Corn Flakes + Milk + Bread + Jam + Tea + Fruits,1000,0.7148,715,789,64.81
6,Thursday,Lunch,12:30–1:50 PM,Kadi Pakoda + Allo Bhujiya + Malka Dal + Rice + Roti + Pyaj Laccha,1000,0.8538,854,943,75.85
6,Thursday,Snacks,5:00–5:30 PM,Baby Pizza + Tea,1000,0.443,443,490,18.75
6,Thursday,Dinner,7:30–8:50 PM,Dal Arhar + Veg machurian + Chowmein + Jeera Rice + Roti + Ice cream,1000,0.7768,777,861,63.37
6,Friday,Breakfast,7:30–8:50 AM,Aloo + Bhaji + Poori + Suji Haluwa + Corn Flakes + Milk + Bread + Jam + Tea + Fruits,1000,0.6959,696,745,40.95
6,Friday,Lunch,12:30–1:50 PM,Chana Dal + Aloo Shimla + Jeera Rice + Mix raita + Salad + Roti,1000,0.8289,829,913,81.94
6,Friday,Snacks,5:00–5:30 PM,Bread Pakoda + Tea,1000,0.4598,460,489,18.79
6,Friday,Dinner,7:30–8:50 PM,Dhaba Dal + Veg Pulav + Soya Chaap + Karela Fry + Roti + Brownie,1000,0.7732,773,852,71.2
6,Saturday,Breakfast,7:30–8:50 AM,Pav + Bhaji + Veg Vermicilly + Cornflakes + Milk + Tea + Bread + Jam + Fruit,1000,0.6752,675,722,37.04
6,Saturday,Lunch,12:30–1:50 PM,Dal Tadka + Jeera Rice + MixVeg + Curd + Salad + Roti,1000,0.7825,783,856,73.71
6,Saturday,Snacks,5:00–5:30 PM,Aloo Ki Sabji Khasta Kachori + Lassi,1000,0.3848,385,427,24.35
6,Saturday,Dinner,7:30–8:50 PM,Moong Dal + Mushroom Masala + Dry Mutter + Rice + Roti + Chocolate Pastrie,1000,0.7043,704,757,59.23
6,Sunday,Breakfast,7:30–8:50 AM,Fried Idli + Sambar + Coconut Chutney + Veg Pulav + Chole + Bhature + Boondi Raita + Bread + Jam + Tea + Cutfruit,1000,0.6664,666,739,44.9
6,Sunday,Snacks,5:00–5:30 PM,Namkeen / Tea,1000,0.4499,450,491,21.11
6,Sunday,Dinner,7:30–8:50 PM,Black Chana Curry + Chilli Paneer + Aloo Tamater Sabji + Rice + Roti + Milk Cake,1000,0.7356,736,783,52.51
7,Monday,Breakfast,7:30–8:50 AM,Poha + Tawa sandwich + Bread + Jam + Fruit + Milk + Tea + Cornflakes,1000,0.7011,701,770,62.78
7,Monday,Lunch,12:30–1:50 PM,Dal Rajma + Lauki masala + Jeera Rice + Chapati + Salad + Plain Curd + Roti + Papad,1000,0.8459,846,921,83.73
7,Monday,Snacks,5:00–5:30 PM,Aloo Patties + Masala Tea,1000,0.5075,507,555,27.74
7,Monday,Dinner,7:30–8:50 PM,Dal Kali Masoor + Palak corn + Aloo Jeera + Rice + Roti + Sponge rasgulla,1000,0.7342,734,814,78.9
7,Tuesday,Breakfast,7:30–8:50 AM,Aloo paratha + Upma + Chutney + Milk + Tea + Cornflakes + Bread + Jam + Fruit,1000,0.6898,690,748,52.86
7,Tuesday,Lunch,12:30–1:50 PM,Chole Masala + Kaddu Khata Meetha + Puri + Rice + Boondi Raita + Salad,1000,0.8836,884,947,56.08
7,Tuesday,Snacks,5:00–5:30 PM,Chilli potato + Tea,1000,0.5089,509,546,18.53
7,Tuesday,Dinner,7:30–8:50 PM,Chana dry + Mix dal + Aloo Nutri Masala + Rice + Roti + Mohan Kheer,1000,0.7597,760,828,62.09
7,Wednesday,Breakfast,7:30–8:50 AM,Chole Kulche + Poha + Milk + Tea + Cornflakes + Bread + Jam + Fruit,1000,0.7171,717,777,56.35
7,Wednesday,Lunch,12:30–1:50 PM,Arhar dal + Aloo Matar ki Subzi + Rice + Roti + Raita + Salad,1000,0.8242,824,886,70.46
7,Wednesday,Snacks,5:00–5:30 PM,Macroni + Tea,1000,0.471,471,519,27.35
7,Wednesday,Dinner,7:30–8:50 PM,Dal Makhani + Shahi Paneer + Roti + Rice + Rasgulla,1000,0.7885,788,850,55.76
7,Thursday,Breakfast,7:30–8:50 AM,Idli + SAmber + Chutney + Vegetable Daliya + Corn Flakes + Milk + Bread + Jam + Tea + Fruits,1000,0.7006,701,772,64.55
7,Thursday,Lunch,12:30–1:50 PM,Kadi Pakoda + Allo Bhujiya + Malka Dal + Rice + Roti + Pyaj Laccha,1000,0.8566,857,949,101.55
7,Thursday,Snacks,5:00–5:30 PM,Baby Pizza + Tea,1000,0.4544,454,492,27.73
7,Thursday,Dinner,7:30–8:50 PM,Dal Arhar + Veg machurian + Chowmein + Jeera Rice + Roti + Ice cream,1000,0.7477,748,799,48.11
7,Friday,Breakfast,7:30–8:50 AM,Aloo + Bhaji + Poori + Suji Haluwa + Corn Flakes + Milk + Bread + Jam + Tea + Fruits,1000,0.6719,672,742,47.08
7,Friday,Lunch,12:30–1:50 PM,Chana Dal + Aloo Shimla + Jeera Rice + Mix raita + Salad + Roti,1000,0.8491,849,915,73.29
7,Friday,Snacks,5:00–5:30 PM,Bread Pakoda + Tea,1000,0.4454,445,491,26.26
7,Friday,Dinner,7:30–8:50 PM,Dhaba Dal + Veg Pulav + Soya Chaap + Karela Fry + Roti + Brownie,1000,0.7598,760,823,62.2
7,Saturday,Breakfast,7:30–8:50 AM,Pav + Bhaji + Veg Vermicilly + Cornflakes + Milk + Tea + Bread + Jam + Fruit,1000,0.6124,612,653,34.68
7,Saturday,Lunch,12:30–1:50 PM,Dal Tadka + Jeera Rice + MixVeg + Curd + Salad + Roti,1000,0.7631,763,819,74.74
7,Saturday,Snacks,5:00–5:30 PM,Aloo Ki Sabji Khasta Kachori + Lassi,1000,0.4469,447,485,27.58
